Model,Epochs / Iterations,Best Parameters,Best CV Score,Accuracy,Precision,Recall,F1-Score,ROC-AUC,R-Squared,Time (s)
SVM,"Tuned (C, kernel)","{""C"": 0.1, ""kernel"": ""linear""}",0.9761890582325913,0.9543333333333334,0.8342696629213483,0.792,0.8125854993160054,0.9806816507936507,0.5824761904761905,4.08
Logistic Regression,1000 (max_iter) - Tuned,"{""C"": 0.1}",0.9764367746690543,0.9536666666666667,0.8410404624277457,0.776,0.8072122052704577,0.9804210793650793,0.5763809523809524,2.53
XGBoost,"Tuned (n_estimators, learning_rate)","{""learning_rate"": 0.1, ""n_estimators"": 100}",0.9670819002360341,0.95,0.8279883381924198,0.7573333333333333,0.7910863509749304,0.9749109841269841,0.5428571428571429,0.99
Random Forest,"Tuned (n_estimators, max_depth)","{""max_depth"": 10, ""n_estimators"": 100}",0.9621665903911912,0.944,0.8683274021352313,0.6506666666666666,0.7439024390243902,0.9697716825396825,0.488,5.95
Decision Tree,Tuned (max_depth),"{""max_depth"": 5}",0.8472315370319169,0.907,0.6610738255033557,0.5253333333333333,0.5854383358098069,0.8650641269841269,0.1497142857142857,0.29
